GAME_DATE,LAST_NAME,FIRST_NAME,FULL NAME,DRAFTED?,Tier,ROUND,PICK,TEAM,POSITION1,POSITION2,CLASS,SCOUT_NAME,PLAYER_SCHOOL,CONFERENCE,HEIGHT_IN,WEIGHT,THROWING_SIDE_R_L,BATTING_SIDE_R_L_S,OPPONENT_SCHOOL,OPPONENT_CONFERENCE,GAME,INNINGS_PITCHED,PITCHES_TOTAL,HITS_ALLOWED,RUNS_ALLOWED,STOLEN_BASES_ALLOWED,WALKS,GROUNDOUTS,FLYOUTS,STRIKE_BALL_PERCENTAGE,HITS_ALLOWED_LEFT_SIDE,HITS_ALLOWED_MIDDLE,HITS_ALLOWED_RIGHT_SIDE,FASTBALL_VELO_MIN,FASTBALL_VELO_MAX,TOTAL_SWINGS_FASTBALL,SWINGS_AND_MISSES_FASTBALL,CHASE_SWINGS_FASTBALL,HARD_CONTACT_FASTBALL,BREAKING_BALL_VELO_MIN,BREAKING_BALL_VELO_MAX,TOTAL_SWINGS_BREAKING_BALL,SWINGS_AND_MISSES_BREAKING_BALL,CHASE_SWINGS_BREAKING_BALL,HARD_CONTACT_BREAKING_BALL,THIRD_PITCH_VELO_MIN,THIRD_PITCH_VELO_MAX,TOTAL_SWINGS_THIRD_PITCH,SWINGS_AND_MISSES_THIRD_PITCH,CHASE_SWINGS_THIRD_PITCH,HARD_CONTACT_THIRD_PITCH,FOURTH_PITCH_VELO_MIN,FOURTH_PITCH_VELO_MAX,SWING_FOURTH,SWING_MISS_FOURTH,CHASE_FOURTH,HARD_FOURTH,PRESENT_FASTBALL_GRADE_20_80,PRESENT_CURVE_GRADE_20_80,PRESENT_SLIDER_GRADE_20_80,PRESENT_CHANGE_GRADE_20_80,PRESENT_OTHER_GRADE_20_80,PRESENT_CONTROL_GRADE_20_80,FUTURE_FASTBALL_GRADE_20_80,FUTURE_CURVE_GRADE_20_80,FUTURE_SLIDER_GRADE_20_80,FUTURE_CHANGE_GRADE_20_80,FUTURE_OTHER_GRADE_20_80,FUTURE_CONTROL_GRADE_20_80,FB_PITCH_TYPE,BB_PITCH_TYPE,THIRD_PITCH_TYPE,FOURTH_PITCH_TYPE,COMMENTS,PLAYERID,SCHOOLID,SCOUTID,GAMEKEY,AVG Grade
04/12/2018,Dillard,Trey,"Dillard, Trey",Y,3,16,494,Dodgers,P,,Fr.,Ketzy Garcia,San Jacinto College-North,Southwest Junior College Conference,74,215,R,R,Wharton County Junior College,Southwest Junior College Conference,Wharton County Junior College_AT_San Jacinto College-North_04/12/2018,1,15,1,0,0,0,1,1,73.3,1,0,0,94,96,1,0,0,0,80,83,3,2,0,1,,,,,,,,,,,,,60,50,,,,55,70,60,,,,65,,,,,,2312,699,116,8685,51
04/26/2018,Dillard,Trey,"Dillard, Trey",Y,3,16,494,Dodgers,P,,Fr.,Ketzy Garcia,San Jacinto College-North,Southwest Junior College Conference,74,215,R,R,Blinn College,Southwest Junior College Conference,Blinn College_AT_San Jacinto College-North_04/26/2018,1,25,1,1,0,1,0,3,40.00%,1,0,0,92,97,5,0,2,2,82,84,1,1,0,0,84,86,0,0,0,0,,,,,,,60,50,,30,,50,70,60,,45,,65,2-Seam,Curveball,Changeup,,,2312,509,78,8721,38
04/30/2018,Quijada,Hazahel,"Quijada, Hazahel",Y,3,17,501,Padres,P,,Jr.,"McCann, Ruairi","University of California, Riverside",Big West,72,195,L,L,San Diego State University,Mountain West,"University of California, Riverside_AT_San Diego State University_05/01/2018",1,18,0,0,0,1,1,100.00%,66.7,0,0,0,87,92,10,3,1,1,74,74,0,0,0,0,83,83,0,0,0,0,,,,,,,40,30,20,30,,35,60,40,20,50,,45,4-Seam,Curveball,Changeup,,,2644,106,72,3768,35
03/21/2018,Montgomery,Justin,"Montgomery, Justin",Y,3,17,510,Rays,P,,Jr.,Matt Johnson,California Baptist University,Pacific West Conference,77,205,R,R,Point Loma Nazarene University,Pacific West Conference,Point Loma Nazarene University_AT_California Baptist University_03/21/2018,5,,3,2,0,2,4,7,60.8,0,1,2,88,92,17,0,0,2,80,84,7,2,2,1,84,86,8,3,3,1,84,87,3,1,,,50,35,40,30,,40,65,45,60,40,,50,,,,,,2566,501,99,8623,43
03/30/2018,Alvarado,Luis,"Alvarado, Luis",Y,3,17,511,Angels,P,,Sr.,Kade_Enders,"University of Nebraska, Lincoln",Big 10,76,210,R,,The Ohio State University,Big 10,"University of Nebraska, Lincoln_AT_The Ohio State University",7.67,,8,3,1,3,11,5,61.7,0,6,2,85,92,29,4,1,2,70,78,4,2,1,0,79,86,7,1,1,2,71,75,3,2,1,0,50,40,50,40,,50,65,50,60,45,,55,,,,,,811,79,30,2714,44
03/09/2018,Alvarado,Luis,"Alvarado, Luis",Y,3,17,511,Angels,P,,Sr.,Reagan_Gropp,"University of Nebraska, Lincoln",Big 10,76,210,R,R,California Polytechnic State University,Big West,"California Polytechnic State University_AT_University of Nebraska, Lincoln",7,,5,0,0,1,5,6,60,1,3,1,85,92,41,5,2,8,72,78,5,3,3,0,80,84,6,0,0,0,,,,,,,50,40,30,,,50,55,50,50,,,50,,,,,,811,968,42,2969,38
05/05/2018,Alvarado,Luis,"Alvarado, Luis",Y,3,17,511,Angels,P,OF,Sr.,Reagan_Gropp,"University of Nebraska, Lincoln",Big 10,76,210,R,R,"University of Maryland, College Park",Big 10,"University of Maryland, College Park_AT_University of Nebraska, Lincoln_05/05/2018",1.33,61,2,7,0,6,0,300.00%,42.6,1,1,0,88,90,12,4,4,3,74,75,2,0,0,1,80,80,0,0,0,0,,,,,,,35,45,,30,,20,45,55,,40,,40,4-Seam,Curveball,Changeup,,,811,95,53,4171,36
02/24/2018,Andrews,Clayton,"Andrews, Clayton",Y,3,17,515,Brewers,P,,Jr.,Caleb Watkins,Long Beach State,Big West,66,160,L,L,Texas Christian University,DI,Long Beach State_at_Texas Christian University,5,,6,4,0,2,5,4,64.6,1,2,3,84,88,26,5,7,6,72,78,6,2,2,1,74,76,5,3,1,0,,,,,,,40,,35,35,,45,40,,45,40,,55,,,,,,744,835,27,880,38
03/08/2018,Andrews,Clayton,"Andrews, Clayton",Y,3,17,515,Brewers,P,,Jr.,Justin Herbert,Long Beach State University,Big West,66,160,L,L,Texas A&M,Southeastern Conference,Long Beach State University_AT_Texas A&M_03/09/2018,7,,7,2,0,2,7,4,71.4,1,3,3,85,91,31,5,0,7,77,80,4,3,1,0,76,80,14,10,8,0,,,,,,,35,30,,55,,30,35,30,,55,,35,,,,,,744,75,119,3000,43
04/27/2018,Loseke,Barrett,"Loseke, Barrett",Y,3,17,517,Yankees,P,,Jr.,Maddox Steward,University of Arkansas,SEC,72,175,R,R,University of Alabama,SEC,University of Alabama_AT_University of Arkansas_04/28/2018,1.33,21,1,0,0,1,1,0,62,1,0,0,88,93,8,2,1,0,74,74,0,0,0,0,80,83,1,1,0,0,,,,,,,50,40,,55,,50,55,45,,60,,55,4-Seam,Curveball,Changeup,,"quick delivery, great command of the strike zone , moves a lot and twitches before beginning of wind up, change is good and it breaks away from lefties and in on righties",2518,65,78,3296,44
03/09/2018,Kurz,Cameron,"Kurz, Cameron",Y,3,18,532,Braves,P,,RS Jr.,Marc_Delucchi,"University of California, San Diego",California Collegiatte Athletic Association,72,195,R,R,Sonoma State University,California Collegiatte Athletic Association,"University of California, San Diego_AT_Sonoma State University_03/09/2018",1,,0,0,0,0,0,1,88.9,0,0,0,84,87,4,3,1,0,76,79,2,2,1,0,,,,,,,,,,,,,35,,40,,,35,35,,55,,,50,,,,,,2492,63,37,8668,42
04/20/2018,Zavolas,Noah,"Zavolas, Noah",Y,3,18,538,Mariners,P,,Sr.,Anthony Franco,Harvard University,The Ivy League,73,190,R,R,Brown University,The Ivy League,Brown University_AT_Harvard University_04/21/2018,8,96,4,0,0,0,7,3,74,2,0,2,86,91,14,1,2,2,74,77,4,0,1,0,79,84,29,16,17,2,,,,,,,40,35,,60,,50,40,40,,65,,60,2 seam,Curveball,Changeup,,,2107,1613,24,7921,47
04/02/2018,Wolfram,Grant,"Wolfram, Grant",Y,3,18,539,Rangers,P,,Jr.,Dustin_Ebenstein,Davenport University,Great Lakeland Intercollegiate Athletic Conference,77,235,L,L,Wayne State University (Michigan),Great Lakes Intercollegiate Athletic Conference,Davenport University_AT_Wayne State University (Michigan)_04/02/2018,5,,5,3,0,4,5,2,59,3,2,0,87,88,22,6,2,2,76,77,9,3,3,2,80,82,8,2,2,0,,,,,,,60,40,,50,,40,65,45,,55,,45,,,,,,1769,53,91,2142,47
04/13/2018,McCarthy,Shane,"McCarthy, Shane",Y,3,18,553,Indians,P,,Sr.,Joe Barbella,Seton Hall University,Big East,74,204,R,R,Xavier,Big East,Xavier_AT_Seton Hall University_04/13/2018,6,,6,3,0,1,11,2,72,1,2,3,89,94,28,5,2,2,79,83,7,2,1,1,77,83,7,2,1,1,,,,,,,50,,45,40,,50,60,,50,50,,55,,,,,,1991,339,11,8249,45
04/27/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr.,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,R,University of Michigan,Big 10,University of Michigan_AT_University of Iowa_04/27/2018,2,41,2,1,0,1,1,2,58.5,2,0,0,88,91,8,1,1,1,81,83,3,2,2,0,83,85,5,2,0,0,,,,,,,45,,50,45,,35,50,,55,45,,50,4-Seam,Slider,Changeup,,"Daniels has been excellent as a multi inning RP this year. Today he began the game with two hits, but settled in after that. He showed great poise on the mound. His slider was sharp today and generated 2 ugly swing and misses. His changeup showed some sinking action. His fastball sat 90-91 and is straight. There is more velo in the tank. Odd mechanics (a very short stride) along with a slight frame keep him from unlocking it.",1539,317,80,317,44
04/28/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr.,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,R,University of Michigan,Big 10,University of Michigan_AT_University of Iowa_04/29/2018,4,58,2,0,0,1,4,2,62.1,1,1,0,86,90,10,2,0,0,77,83,9,6,3,0,84,85,6,1,0,0,,,,,,,45,,50,45,,35,50,,55,45,,50,4-Seam,Slider,Changeup,,Daniels was fantastic today in a battle of bullpen aces. Went 4 strong. Fastball sat 88-89. Slider was excellent today. Arm slot makes it appear that it is coming out of LF.,1539,53,91,334,45
03/23/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr.,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,L,"Indiana University, Bloomington",Big 10,"Indiana University, Bloomington_AT_University of Iowa",2,,1,1,0,1,4,1,58.10%,1,0,0,88,93,7,1,0,3,81,81,,,,,84,86,7,1,0,0,,,,,,,55,,45,45,,40,60,,45,50,,50,,,,,,1539,663,90,2147,46
03/28/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr.,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,L,Bradley University,Missouri Valley Conference,Bradley University_AT_University of Iowa,2,,0,0,0,1,1,2,51.4,0,0,0,86,91,5,2,0,0,78,79,0,0,0,0,81,84,7,3,1,0,,,,,,,45,,45,50,,40,55,,50,50,,45,,,,,,1539,581,54,2361,44
05/04/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr.,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,R,Oklahoma State University,Big 12,Oklahoma State University_AT_University of Iowa_05/04/2018,1.33,22,0,0,0,0,3,0.00%,77.3,0,0,0,88,91,4,0,0,0,79,81,3,2,2,0,83,85,4,0,0,0,,,,,,,45,,50,40,,40,50,,55,45,,50,4-Seam,Slider,Changeup,,,1539,581,54,2361,44
05/05/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr.,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,R,Oklahoma State University,Big 12,Oklahoma State University_AT_University of Iowa_05/05/2018,1,21,2,2,0,0,0,300.00%,66.7,0,0,0,87,92,7,0,0,2,82,84,4,2,0,0,,,,,,,,,,,,,45,,50,40,,40,50,,55,45,,50,4-Seam,Slider,,,,1539,61,86,4163,43
04/08/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,L,The Ohio State University,Big 10,The Ohio State University_AT_University of Iowa_04/08/2018,3,,1,0,0,1,5,0,58.1,1,0,0,86,90,6,1,0,1,75,76,0,0,0,0,80,84,10,6,0,0,,,,,,,45,,40,50,,35,55,,45,50,,45,,,,,,1539,130,79,7242,43
05/17/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr.,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,R,Penn State University,Big 10,Penn State University_AT_University of Iowa_05/17/2018,2.00,39,3,1,0,0,1,1,69.2,2,1,0,88,92,14,4,1,0,77,85,7,5,3,0,85,86,3,1,1,1,,,,,,,45,,50,40,,40,50,,55,45,,50,4-Seam,Slider,Changeup,,"Daniels showed a FB that sat 90-92 with some cutting action. Slider was very strong this outing, coming in hard with good lateral movement.",1539,61,86,3949,44
05/19/2018,Daniels,Zach,"Daniels, Zach",Y,3,19,562,Braves,P,,Jr.,Anthony_Osnacz,University of Iowa,Big 10,71,160,R,R,Penn State University,Big 10,Penn State University_AT_University of Iowa_05/19/2018,1.00,12,3,1,0,0,2,0,75,1,0,2,91,92,3,0,0,1,80,84,4,3,2,0,,,,,,,,,,,,,45,,50,40,,40,50,,55,45,,50,4-Seam,Slider,,,,1539,61,86,4020,39
04/20/2018,Rosenblum-Larson,Simon,"Rosenblum-Larson, Simon",Y,3,19,570,Rays,P,,Jr.,Anthony Franco,Harvard University,The Ivy League,75,180,R,R,Brown University,The Ivy League,Brown University_AT_Harvard University_04/21/2018,5,109,4,3,0,5,5,2,53.2,1,1,2,84,92,17,8,0,3,71,75,6,1,5,0,77,81,11,5,2,0,,,,,,,35,35,,40,,30,40,45,,45,,40,2 seam,Curveball,Changeup,,,2127,540,5,7921,41
04/27/2018,Schulfer,Austin,"Schulfer, Austin",Y,3,19,574,Twins,P,,Jr.,Robert_Frey,UW-Milwaukee,Horizon League,74,165,R,R,University of Illinois at Chicago,Horizon League,UW-Milwaukee_AT_University of Illinois at Chicago_04/27/2018,6,104,8,5,0,3,12,1,57.7,1,2,5,91,93,8,0,0,2,84,86,4,1,0,1,80,83,12,5,3,0,87,90,16,1,0,0,45,45,,50,45,45,50,55,,60,50,45,4-Seam,Slurve,Changeup,2-Seam,"Schulfer is a long, lanky-framed pitch with some room to add some build. He presents two fastballs, four-seam(91-93) and two-seam(87-90). The four seam was primarily used up in the zone to blow by hitters, while the two-seam was used as a groundball-inducing pitch, which worked with the inducing of 12 groundouts(1 double play). Throws from the 3/4 arm slot has easy and clean mechanics. Changeup is an excellent pitch, uses off of fastball and generated some ugly swings and sat 80-83. Breaking ball is more of a slurve type, speed of a slider and break of a curve, sat 84-86. It's effective in spurts, but leaves pitch over plate when he starts to tire. Has some command issues that show when he reaches the order the second time around. Tries to be too fine. However, overall this pitcher has the repetoire to be a strong groundball pitcher in the back end of a rotation.",2697,6,30,693,54
05/03/2018,Linginfelter,Zach,"Linginfelter, Zach",Y,3,19,581,Nationals,P,,So.,Kelly Ramsey,University Of Tennessee,SEC,77,220,R,R,University Of Kentucky,SEC,University Of Kentucky_AT_University Of Tennessee_05/04/2018,5.67,92,2,0,0,4,5,200.00%,57.0,0,2,0,91,96,20,4,0,3,83,86,9,4,2,0,,,,,,,,,,,,,75,,65,,,60,80,,70,,,70,4-Seam,Slider,,,,2515,575,92,4122,61
03/04/2018,Kelly,Parker,"Kelly, Parker",Y,3,20,603,Cardinals,P,,Jr.,Meagan Rirodan,University of Oregon,Pacific 12,60,200,L,,Florida Atlantic University,Conference USA,Florida Atlantic University_AT_University of Oregon,1,,1,0,1,0,2,0,64,0,1,0,90,91,3,1,1,3,80,89,2,0,2,0,,,,,,,,,,,,,55,,55,,,55,65,,60,60,,,,,,,,840,5,30,1941,51
05/05/2018,Sampen,Caleb,"Sampen, Caleb",Y,3,20,614,Dodgers,P,,RS-So.,Michael_Cuva,Wright State University,Horizon League,74,185,R,R,University of Illinois at Chicago,Horizon League,University of Illinois at Chicago_AT_Wright State University_05/05/2018,6,92,4,2,1,2,8,600.00%,,,,,88,92,,,,,78,78,,,,,,,,,,,,,,,,,50,45,,,,45,55,50,,,,50,2-Seam,Curveball,,,,2686,230,30,8758,49
04/24/2018,Fox,Mason,"Fox, Mason",Y,4,21,621,Padres,P,,Jr.,Maddy Craft,Gardner-Webb University,Big South,74,190,R,R,Appalachian State University,Sun Belt,Appalachian State University_AT_Gardner-Webb University_04/25/2018,1,13,0,0,0,0,0,0,62,0,0,0,87,93,6,3,1,1,,,,,,,80,84,1,1,0,,,,,,,,60,,,50,,45,65,,,55,,50,4 seam,,Changeup,,,2344,509,84,8718,46
03/09/2018,Lawson,Tanner,"Lawson, Tanner",Y,4,21,622,Braves,P,,Jr.,Chandler Chappell,St. Edwards University,Heartland Conference,73,195,L,L,St. Marys University (Texas),Heartland Conference,St. Marys University (Texas)_AT_St. Edwards University_03/10/2018,5.3,,7,5,1,1,9,4,66.3,1,3,2,84,90,26,3,1,3,73,79,19,6,3,1,77,83,3,0,0,0,,,,,,,45,45,30,,,50,50,55,35,,,60,,,,,,37,221,124,679,41
02/02/2018,Lawson,Tanner,"Lawson, Tanner",Y,4,21,622,Braves,P,,Jr.,Chandler Chappell,St. Edward's University,Heartland Conference,73,195,L,L,Northeastern State University,Mid-America Intercollegiate Athletic Conference,Northeastern State University_at_St. Edward's University,6,,1,1,0,1,4,3,64.4,1,0,0,84,90,13,1,0,0,68,76,9,7,1,1,78,83,4,1,0,0,,,,,,,40,45,,,30,40,50,55,,,35,50,,,,,,37,30,54,,49
03/17/2018,Tapani,Ryan,"Tapani, Ryan",Y,4,21,641,Nationals,P,,Sr.,Robert_Lippert,Creighton University,Big East,72,190,R,R,Wichita State University,American Athletic Conference,Wichita State University_AT_Creighton University,7.3,,6,1,0,1,3,10,62,2,2,2,84,90,26,3,6,9,71,74,7,3,5,,73,77,12,1,3,2,,,,,,,50,60,,60,,65,65,65,,65,,70,,,,,,1336,409,113,1747,54
04/28/2018,Roach,Dalton,"Roach, Dalton",Y,4,21,642,Astros,P,,Sr.,Alex_Jensen,"Minnesota State University, Mankato",Northern Sun Intercollegiate Conference,74,200,R,R,Augustana University (South Dakota),Northern Sun Intercollegiate Conference,"Augustana University (South Dakota)_AT_Minnesota State University, Mankato_04/28/18",6,94,5,3,3,1,3,9,62.7,1,3,1,85,92,30,6,2,5,67,71,4,2,2,1,78,82,6,0,0,2,,,,,,,40,60,,40,,60,50,65,,40,,60,4-Seam,Curveball,Changeup,,"Very nice delivery and a big time strike thrower. Has the chance to get lit up, but will continue to attack the zone. Establishing his fastball early is what he likes to do and his finish pitch is his curveball",2664,624,54,540,45
04/13/2018,Helvey,Clay,"Helvey, Clay",Y,4,22,646,Giants,P,,Jr.,Jamie Quolas,University of Tampa,Sunshine State Conference,77,180,R,R,Palm Beach Atlantic University,Sunshine State Conference,Palm Beach Atlantic University_AT_University of Tampa_04/14/2018,8,108,6,1,0,2,10,5,0.648,1,3,2,90,97,29,1,0,4,73,76,3,2,0,0,79,85,13,0,0,1,82,83,1,0,1,0,50,40,35,35,,45,60,45,45,45,,55,Two-Seam,Curve,Slider,Change-up,"Clay Helvey is an athletic, solid, large frame with some room to add mass. He gets good forward and downhill drive from his lower half. He has good hip flexibility and good hip to shoulder separation. He finishes in a good defensive posture and fields his position well. He has more velocity in his arm. With further development of his secondary pitches, Clay projects to be a back-end starter with above average velocity with good control.",1899,507,94,717,41
04/13/2018,Helvey,Clay,"Helvey, Clay",Y,4,22,646,Giants,P,,Jr.,Jamie Quolas,University of Tampa,Sunshine State Conference,77,180,R,R,Palm Beach Atlantic University,Sunshine State Conference,Palm Beach Atlantic University_AT_University of Tampa_04/14/2018,8,108,6,1,0,2,10,5,64.8,1,3,2,90,97,29,1,0,4,73,76,3,2,0,0,79,85,13,0,0,1,82,83,1,0,1,0,50,40,35,35,,45,60,45,45,45,,55,Two-Seam,Curve,Slider,Change-up,"Clay Helvey is an athletic, solid, large frame with some room to add mass. He gets good forward and downhill drive from his lower half. He has good hip flexibility and good hip to shoulder separation. He finishes in a good defensive posture and fields his position well. He has more velocity in his arm. With further development of his secondary pitches, Clay projects to be a back-end starter with above average velocity with good control.",1899,507,94,717,41
04/13/2018,Helvey,Clay,"Helvey, Clay",Y,4,22,646,Giants,P,,Jr.,Jamie Quolas,University of Tampa,Sunshine State Conference,77,180,R,R,Palm Beach Atlantic University,Sunshine State Conference,Palm Beach Atlantic University_AT_University of Tampa_04/14/2018,8,108,6,1,0,2,10,5,64.8,1,3,2,90,97,29,1,0,4,73,76,3,2,0,0,79,85,13,0,0,1,82,83,1,0,1,0,50,40,35,35,,45,60,45,45,45,,55,Two-Seam,Curve,Slider,Change-up,"Clay Helvey is an athletic, solid, large frame with some room to add mass. He gets good forward and downhill drive from his lower half. He has good hip flexibility and good hip to shoulder separation. He finishes in a good defensive posture and fields his position well. He has more velocity in his arm. With further development of his secondary pitches, Clay projects to be a back-end starter with above average velocity with good control.",1899,507,94,717,45
02/24/2018,Hensley,Bryce,"Hensley, Bryce",Y,4,22,662,Royals,P,,Sr.,Logan Bookout,The University of North Carolina at Greensboro,Southern Conference,76,200,L,L,University of Tennessee,Southeaster Conference,UniversityOfNorthCarolinaGreensboro_at_UniversityOfTenneessee,4.33,,8,6,1,0,6,0,68.8,1,1,5,85,89,17,1,1,3,79,85,7,1,1,2,76,78,11,3,3,2,,,,,,,45,50,50,50,,45,60,55,55,55,,55,,,,,,732,144,29,1189,46
02/10/2018,Fernandez,Ryan,"Fernandez, Ryan",Y,4,23,700,Red Sox,P,,So.,Jamie Quolas,Hillsborough Community College,SunCoast Conference,72,170,R,R,Palm Beach State College,Southern Conference,Palm Beach State College_AT_Hillsborough Community College,5,,4,3,1,3,6,2,,2,1,1,89,93,16,4,,2,71,75,8,2,1,,80,84,9,3,1,1,,,,,,,50,45,,40,,35,60,55,,50,,45,,,,,,33,635,115,,41
02/01/2018,Fernandez,Rigo,"Fernandez, Rigo",Y,4,24,708,White Sox,P,,Jr.,Davis Salzman,"California State University, Dominguez Hills",CCAA,72,175,L,L,Marymount California University,Cal-Pac,"Marymount California University_AT_California State University, Dominguez Hills",1.67,,4,6,3,2,1,2,35,1,1,2,86,88,17,4,4,3,64,65,2,1,1,1,73,74,,,0,,,,,,,,45,30,,,,40,50,40,,,,45,,,,,,31,394,5,,40
03/16/2018,Curlis,Connor,"Curlis, Connor",Y,4,24,709,Reds,P,,Jr.,Charlie_Riggs,The Ohio State University,Big 10,74,195,L,L,"California State University, Northridge",Big West,"California State University, Northridge_AT_The Ohio State University",6.3,,3,1,1,1,3,6,65,0,1,2,79,86,22,2,0,3,68,73,7,1,3,0,71,77,8,2,1,5,,,,,,,40,45,,30,,50,55,55,,45,,60,,,,,,1137,78,68,1635,39
03/23/2018,Curlis,Connor,"Curlis, Connor",Y,4,24,709,Reds,P,,Jr.,Kade_Enders,The Ohio State University,Big 10,74,195,L,L,Georgetown University,Big East,Georgetown University_AT_The Ohio State University,5,,3,4,0,4,6,3,61.60%,1,1,1,83,89,32,4,1,5,71,74,1,0,0,1,78,82,4,2,0,0,71,77,3,0,0,0,40,40,30,40,,40,50,50,45,45,,50,,,,,,1137,1270,56,2067,37
04/20/2018,Curlis,Connor,"Curlis, Connor",Y,4,24,709,Reds,P,,Jr.,Kade_Enders,The Ohio State University,Big 10,74,195,L,,"Indiana University, Bloomington",Big 10,"Indiana University, Bloomington_AT_The Ohio State University_04/21/2018",6,104,5,3,0,3,6,8,68.3,0,3,2,81,89,44,4,2,4,72,79,7,3,1,0,76,79,5,0,0,0,76,77,0,0,0,0,30,25,40,30,,50,40,35,50,40,,55,4-Seam,Slider,Changeup,Curveball,,1137,555,92,2921,38
03/10/2018,Alldred,Cam,"Alldred, Cam",Y,4,24,714,Pirates,P,,Jr.,Michael_Cuva,University of Cincinnati,American Athletic Conference,75,207,L,L,University of Tennessee,Southeastern Conference,University of Tennessee_AT_University of Cincinnati,5.7,,6,5,1,3,5,5,66,5,1,0,83,89,32,3,0,4,70,75,8,2,0,1,79,81,3,3,3,0,0,0,0,0,0,0,45,45,,40,,40,50,50,,45,,45,,,,,,734,179,36,1379,43
03/31/2018,Alldred,Cam,"Alldred, Cam",Y,4,24,714,Pirates,P,,Jr.,Michael_Cuva,University of Cincinnati,American Athletic Conference,75,207,L,L,University of Houston,American Athletic Conference,University of Houston_AT_University of Cincinnati,6.67,,4,0,0,3,7,5,59.80%,3,0,1,83,89,32,7,0,2,72,77,8,2,1,0,76,77,1,0,0,0,,,,,,,45,45,,40,,40,50,55,,45,,45,,,,,,734,110,89,2526,43
04/21/2018,Alldred,Cam,"Alldred, Cam",Y,4,24,714,Pirates,P,,Jr.,Michael_Cuva,University of Cincinnati,American Athletic Conference,75,207,L,L,University of Connecticut,American Athletic Conference,University of Connecticut_AT_University of Cincinnati_04/21/2018,5,105,6,3,1,5,4,7,57.14,3,1,2,83,89,33,2,1,2,71,76,11,4,3,0,79,79,3,0,0,0,,,,,,,45,45,,40,,40,50,55,,45,,45,2-Seam,Slurve,Changeup,,,734,61,86,3606,38
02/01/2018,McCarville,Keegan,"McCarville, Keegan",Y,4,24,720,Rays,P,,So.,Kurt Ascetta,South Mountain Community College,ACCAC,73,195,R,R,Phoenix College,ACCAC,Phoenix College_at_South Mountain Community College,5.67,,4,6,0,2,6,3,61,1,2,1,86,90,22,8,5,4,77,82,14,4,3,4,81,81,0,0,0,0,,,,,,,40,,40,20,,35,45,,45,30,,45,,,,,,20,566,9,,43
02/17/2018,Campbell,Isaiah,"Campbell, Isaiah",Y,4,24,721,Angels,P,,RS-So.,Maddox Steward,University of Arkansas,SEC,76,225,R,R,Bucknell,Patriot League,Bucknell University_AT_University of Arkansas,4,,3,1,,2,2,4,60,,1,2,88,95,20,2,1,2,68,79,2,1,,,81,85,4,,,,82,85,3,2,,,55,55,50,40,,50,60,65,55,45,,60,,,,,,336,568,24,,52
02/24/2018,Campbell,Isaiah,"Campbell, Isaiah",Y,4,24,721,Angels,P,,RS So.,"McCann, Ruairi",University of Arkansas,Southeastern Conference,76,225,R,R,San Diego State University,Mountain West,University of Arkansas_AT_San Diego State University_02/24/2018,5,,5,2,0,1,2,5,67.7,1,1,3,90,94,26,5,2,4,70,77,0,0,0,0,78,82,8,5,5,1,80,82,9,2,1,0,55,50,55,55,,55,65,55,65,65,,65,,,,,,336,459,97,925,49
04/29/2018,Kraus,Eli,"Kraus, Eli",Y,4,24,723,Cardinals,P,,Sr.,Corbin_Niese,Kent State University,Mid-American Conference,73,190,L,L,University of Toledo,Mid-American Conference,Kent State University_AT_University of Toledo_04/29/2018,7.33,109,8,3,0,0,4,9,70.64,4,2,2,81,85,36,21,1,3,75,78,13,7,1,5,69,75,11,9,1,1,,,,,,,30,40,,45,,60,45,60,,60,,70,2-Seam,Changeup,Curveball,,,1585,426,88,764,42
04/01/2018,Kraus,Eli,"Kraus, Eli",Y,4,24,723,Cardinals,P,,Sr.,Theo_Mackie,Kent State University,Mid American Conference,73,190,L,L,Western Michigan University,Mid American Conference,Kent State University_AT_Western Michigan University,6,,7,4,0,2,3,6,64.1,3,1,3,80,87,28,4,4,5,69,72,1,1,1,0,74,78,16,11,12,1,,,,,,,35,25,,55,,45,45,40,,65,,55,,,,,,1585,102,89,3063,46
